,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
0,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Architecture,426.80819,441.5123,19000,2015
1,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Computer Engineering,434.77987,476.78082,15900,2015
2,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Electrical and Electronics Engineering,430.24959,503.81777,17600,2015
3,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Industrial Engineering,412.10496,441.19159,25600,2015
4,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Civil Engineering,409.21041,429.329,26900,2015
5,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Mechanical Engineering,399.90535,429.28788,31700,2015
6,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Architecture,453.93464,498.5919,20000,2016
7,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Computer Engineering,465.43359,505.90963,15200,2016
8,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Electrical and Electronics Engineering,457.65507,479.60057,18300,2016
9,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Industrial Engineering,438.07398,491.06851,27400,2016
10,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Civil Engineering,435.67028,464.08526,28600,2016
11,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Mechanical Engineering,430.86979,455.59447,31200,2016
12,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Architecture,427.00452,463.36353,29100,2017
13,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Computer Engineering,455.32899,504.61523,15500,2017
14,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Electrical and Electronics Engineering,435.06741,482.83152,24900,2017
15,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Industrial Engineering,398.66556,452.91833,46300,2017
16,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Civil Engineering,409.5916,438.36571,39300,2017
17,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Mechanical Engineering,405.96471,463.99791,41600,2017
18,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Architecture,418.77754,468.51633,40715,2018
19,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Computer Engineering,441.10438,505.85574,28631,2018
20,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Electrical and Electronics Engineering,431.11651,499.47363,33823,2018
21,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Industrial Engineering,393.20969,449.27536,56782,2018
22,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Civil Engineering,386.7513,420.70534,61287,2018
23,ABDULLAH GUL UNIVERSITY,SAY,KAYSERI,Central Anatolia Region,Mechanical Engineering,399.8274,503.96844,52361,2018
24,ADANA BILIM VE TEKNOLOJI UNIVERSITY,EA,ADANA,Mediterranean Region,"Management Information
systems",292.19094,361.65625,167000,2015
25,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Computer Engineering,303.32023,331.96519,106000,2015
26,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Electrical and Electronics Engineering,330.81783,377.3607,79100,2015
27,ADANA BILIM VE TEKNOLOJI UNIVERSITY,DIL,ADANA,Mediterranean Region,Interpretership,369.03057,433.45362,12600,2015
28,ADANA BILIM VE TEKNOLOJI UNIVERSITY,EA,ADANA,Mediterranean Region,"Management Information
systems",305.65192,381.56475,211000,2016
29,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Computer Engineering,302.49413,334.33942,135000,2016
30,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Electrical and Electronics Engineering,332.25048,382.70067,102000,2016
31,ADANA BILIM VE TEKNOLOJI UNIVERSITY,DIL,ADANA,Mediterranean Region,"
Interpretership",361.80794,466.65252,17400,2016
32,ADANA BILIM VE TEKNOLOJI UNIVERSITY,EA,ADANA,Mediterranean Region,"Management Information
systems",276.71394,322.92984,226000,2017
33,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Computer Engineering,303.57309,340.96978,136000,2017
34,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Electrical and Electronics Engineering,314.30566,356.40885,122000,2017
35,ADANA BILIM VE TEKNOLOJI UNIVERSITY,DIL,ADANA,Mediterranean Region,"
Interpretership",364.63185,432.36265,18800,2017
36,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Computer Engineering,306.7289,360.79467,146658,2018
37,ADANA BILIM VE TEKNOLOJI UNIVERSITY,SAY,ADANA,Mediterranean Region,Electrical and Electronics Engineering,307.18969,377.38213,145932,2018
38,ADANA BILIM VE TEKNOLOJI UNIVERSITY,DIL,ADANA,Mediterranean Region,"
Interpretership",359.78222,446.24165,20853,2018
39,ADANA BILIM VE TEKNOLOJI UNIVERSITY,EA,ADANA,Mediterranean Region,"Management Information
systems",261.64553,319.53483,367541,2018
40,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region, School Science Teaching,244.02364,308.59065,203000,2015
41,ADIYAMAN UNIVERSITY,DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",333.38211,384.21095,30300,2015
42,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Art History,281.31521,308.54439,219000,2015
43,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Biology,248.35893,321.41385,194000,2015
